YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2015,Alaska,Oregon, 214
2016,Alaska,Oregon, 228
2017,Alaska,Oregon, 261
2013,Alaska,Texas, 115
2014,Alaska,Texas, 98
2015,Alaska,Texas, 96
2016,Alaska,Texas, 103
2017,Alaska,Texas, 63
2013,Alaska,Utah, 67
2014,Alaska,Utah, 53
2015,Alaska,Utah, 48
2016,Alaska,Utah, 54
2017,Alaska,Utah, 44
2013,Alaska,Washington, 2077
2014,Alaska,Washington, 2191
2016,Alaska,Washington, 2131
2017,Alaska,Washington, 2283
2013,Arizona,Alaska, 155
2014,Arizona,Alaska, 148
2015,Arizona,Alaska, 128
2016,Arizona,Alaska, 103
2017,Arizona,Alaska, 95
2013,Arizona,Arizona, 619
2014,Arizona,Arizona, 509
2015,Arizona,Arizona, 729
2016,Arizona,Arizona, 500
2017,Arizona,Arizona, 391
2013,Arizona,Arkansas, 110
2014,Arizona,Arkansas, 107
2016,Arizona,Arkansas, 103
2017,Arizona,Arkansas, 89
2013,Arizona,California, 11603
2014,Arizona,California, 12734
2016,Arizona,California, 10564
2017,Arizona,California, 10227
2013,Arizona,Colorado, 4400
2014,Arizona,Colorado, 4399
2016,Arizona,Colorado, 4074
2017,Arizona,Colorado, 3899
2013,Arizona,Florida, 806
2014,Arizona,Florida, 872
2015,Arizona,Florida, 1011
2016,Arizona,Florida, 950
2017,Arizona,Florida, 903
2013,Arizona,Georgia, 1279
2014,Arizona,Georgia, 1293
2015,Arizona,Georgia, 1335
2016,Arizona,Georgia, 1216
2017,Arizona,Georgia, 1243
2013,Arizona,Hawaii, 567
2014,Arizona,Hawaii, 660
2015,Arizona,Hawaii, 759
2016,Arizona,Hawaii, 697
2017,Arizona,Hawaii, 527
2013,Arizona,Idaho, 308
2014,Arizona,Idaho, 407
2015,Arizona,Idaho, 318
2016,Arizona,Idaho, 289
2017,Arizona,Idaho, 244
2013,Arizona,Illinois, 2695
2014,Arizona,Illinois, 2949
2016,Arizona,Illinois, 2365
2017,Arizona,Illinois, 2337
2013,Arizona,Indiana, 515
2014,Arizona,Indiana, 562
2015,Arizona,Indiana, 478
2016,Arizona,Indiana, 470
2017,Arizona,Indiana, 440
2013,Arizona,Iowa, 182
2014,Arizona,Iowa, 143
2015,Arizona,Iowa, 112
2016,Arizona,Iowa, 183
2017,Arizona,Iowa, 164
2016,Arizona,Kansas, 40
2017,Arizona,Kansas, 73
2013,Arizona,Kentucky, 71
2014,Arizona,Kentucky, 92
2016,Arizona,Kentucky, 110
2017,Arizona,Kentucky, 144
2013,Arizona,Louisiana, 174
2014,Arizona,Louisiana, 165
2016,Arizona,Louisiana, 161
2017,Arizona,Louisiana, 180
2013,Arizona,Maryland, 735
2014,Arizona,Maryland, 750
2016,Arizona,Maryland, 752
2017,Arizona,Maryland, 629
2014,Arizona,Massachusetts, 614
2017,Arizona,Massachusetts, 651
2013,Arizona,Massachusetts, 590
2016,Arizona,Massachusetts, 679
2013,Arizona,Michigan, 855
2014,Arizona,Michigan, 904
2016,Arizona,Michigan, 896
2017,Arizona,Michigan, 878
2013,Arizona,Minnesota, 1318
2014,Arizona,Minnesota, 1403
2016,Arizona,Minnesota, 1358
2017,Arizona,Minnesota, 1238
2013,Arizona,Missouri, 1179
2014,Arizona,Missouri, 1299
2016,Arizona,Missouri, 1190
2017,Arizona,Missouri, 1026
2013,Arizona,Nebraska, 467
2014,Arizona,Nebraska, 444
2016,Arizona,Nebraska, 376
2017,Arizona,Nebraska, 415
2013,Arizona,Nevada, 3092
2014,Arizona,Nevada, 3178
2015,Arizona,Nevada, 2914
2016,Arizona,Nevada, 2698
2017,Arizona,Nevada, 2681
2013,Arizona,New Jersey, 1212
2014,Arizona,New Jersey, 1186
2016,Arizona,New Jersey, 1178
2017,Arizona,New Jersey, 1216
2013,Arizona,New Mexico, 800
2014,Arizona,New Mexico, 810
2016,Arizona,New Mexico, 384
2017,Arizona,New Mexico, 465
2013,Arizona,New York, 1022
2014,Arizona,New York, 1054
2016,Arizona,New York, 1040
2017,Arizona,New York, 1120
2014,Arizona,North Carolina, 1171
2017,Arizona,North Carolina, 1074
2013,Arizona,North Carolina, 1252
2016,Arizona,North Carolina, 1250
2013,Arizona,Ohio, 265
2014,Arizona,Ohio, 367
2015,Arizona,Ohio, 429
2016,Arizona,Ohio, 404
2017,Arizona,Ohio, 320
2013,Arizona,Oklahoma, 594
2014,Arizona,Oklahoma, 660
2016,Arizona,Oklahoma, 537
2017,Arizona,Oklahoma, 431
2013,Arizona,Oregon, 1025
2014,Arizona,Oregon, 1187
2015,Arizona,Oregon, 971
2016,Arizona,Oregon, 940
2017,Arizona,Oregon, 1038
2014,Arizona,Pennsylvania, 1394
2017,Arizona,Pennsylvania, 1206
2013,Arizona,Pennsylvania, 1338
2016,Arizona,Pennsylvania, 1279
2013,Arizona,Tennessee, 410
2014,Arizona,Tennessee, 424
2016,Arizona,Tennessee, 399
2017,Arizona,Tennessee, 409
2013,Arizona,Texas, 4823
2014,Arizona,Texas, 4944
2015,Arizona,Texas, 4771
2016,Arizona,Texas, 4242
2017,Arizona,Texas, 4076
2013,Arizona,Utah, 1941
2014,Arizona,Utah, 2026
2015,Arizona,Utah, 1765
2016,Arizona,Utah, 1730
2017,Arizona,Utah, 1614
2013,Arizona,Virginia, 488
2014,Arizona,Virginia, 451
2016,Arizona,Virginia, 507
2017,Arizona,Virginia, 366
2013,Arizona,Washington, 1727
2014,Arizona,Washington, 2022
2016,Arizona,Washington, 1979
2017,Arizona,Washington, 1731
2013,Arizona,Wisconsin, 546
2014,Arizona,Wisconsin, 601
2016,Arizona,Wisconsin, 472
2017,Arizona,Wisconsin, 509
2017,Arizona,Wyoming, 15
2013,Arkansas,Arizona, 110
2014,Arkansas,Arizona, 111
2015,Arkansas,Arizona, 122
2016,Arkansas,Arizona, 120
2017,Arkansas,Arizona, 156
2013,Arkansas,Arkansas, 1
2013,Arkansas,Colorado, 671
2014,Arkansas,Colorado, 638
2016,Arkansas,Colorado, 464
2017,Arkansas,Colorado, 465
2013,Arkansas,Florida, 8
2014,Arkansas,Florida, 5
2013,Arkansas,Georgia, 1456
2014,Arkansas,Georgia, 1393
2015,Arkansas,Georgia, 1302
2016,Arkansas,Georgia, 1274
2017,Arkansas,Georgia, 1318
2013,Arkansas,Illinois, 2830
2014,Arkansas,Illinois, 3030
2016,Arkansas,Illinois, 2179
2017,Arkansas,Illinois, 2162
2013,Arkansas,Maryland, 158
2014,Arkansas,Maryland, 201
2016,Arkansas,Maryland, 86
2013,Arkansas,Michigan, 231
2014,Arkansas,Michigan, 208
2016,Arkansas,Michigan, 188
2017,Arkansas,Michigan, 179
2013,Arkansas,Missouri, 42
2016,Arkansas,Missouri, 107
2017,Arkansas,Missouri, 128
2013,Arkansas,Nevada, 120
2014,Arkansas,Nevada, 162
2015,Arkansas,Nevada, 115
2016,Arkansas,Nevada, 109
2017,Arkansas,Nevada, 140
2013,Arkansas,North Carolina, 158
2013,Arkansas,Texas, 3415
2014,Arkansas,Texas, 3634
2015,Arkansas,Texas, 2889
2016,Arkansas,Texas, 2365
2017,Arkansas,Texas, 2385
2013,California,Alaska, 162
2014,California,Alaska, 168
2016,California,Alaska, 203
2017,California,Alaska, 200
2013,California,Arizona, 11603
2014,California,Arizona, 12068
2016,California,Arizona, 11942
2017,California,Arizona, 11611
2013,California,California, 12260
2014,California,California, 13305
2016,California,California, 10901
2017,California,California, 11526
2013,California,Colorado, 11387
2014,California,Colorado, 11203
2016,California,Colorado, 10977
2017,California,Colorado, 11269
2014,California,Connecticut, 51
2017,California,Connecticut, 73
2013,California,Connecticut, 19
2016,California,Connecticut, 61
2013,California,Florida, 1647
2014,California,Florida, 1587
2016,California,Florida, 2784
2017,California,Florida, 2501
2013,California,Georgia, 3078
2014,California,Georgia, 3134
2016,California,Georgia, 3630
2017,California,Georgia, 3802
2013,California,Hawaii, 3511
2014,California,Hawaii, 3764
2016,California,Hawaii, 3545
2017,California,Hawaii, 3459
2013,California,Idaho, 817
2014,California,Idaho, 856
2016,California,Idaho, 873
2017,California,Idaho, 882
2013,California,Illinois, 7764
2014,California,Illinois, 8119
2016,California,Illinois, 7834
2017,California,Illinois, 7617
2013,California,Indiana, 97
2014,California,Indiana, 150
2016,California,Indiana, 341
2017,California,Indiana, 316
2013,California,Kansas, 111
2014,California,Kansas, 142
2013,California,Kentucky, 175
2014,California,Kentucky, 199
2016,California,Kentucky, 310
2017,California,Kentucky, 340
2013,California,Louisiana, 495
2014,California,Louisiana, 634
2016,California,Louisiana, 863
2017,California,Louisiana, 885
2013,California,Maryland, 655
2014,California,Maryland, 624
2016,California,Maryland, 830
2017,California,Maryland, 844
2014,California,Massachusetts, 3144
2017,California,Massachusetts, 3418
2013,California,Massachusetts, 3075
2016,California,Massachusetts, 3252
2013,California,Michigan, 935
2014,California,Michigan, 953
2016,California,Michigan, 1112
2017,California,Michigan, 1147
2013,California,Minnesota, 1408
2014,California,Minnesota, 1641
2016,California,Minnesota, 1917
2017,California,Minnesota, 1846
2013,California,Missouri, 996
2014,California,Missouri, 1114
2016,California,Missouri, 1447
2017,California,Missouri, 1354
2013,California,Montana, 109
2014,California,Montana, 116
2016,California,Montana, 117
2017,California,Montana, 137
2013,California,Nebraska, 14
2014,California,Nebraska, 20
2016,California,Nebraska, 63
2017,California,Nebraska, 52
2013,California,Nevada, 12644
2014,California,Nevada, 13217
2016,California,Nevada, 13272
2017,California,Nevada, 13227
2013,California,New Jersey, 3798
2014,California,New Jersey, 3721
2016,California,New Jersey, 3950
2017,California,New Jersey, 3940
2013,California,New Mexico, 682
2014,California,New Mexico, 688
2016,California,New Mexico, 344
2017,California,New Mexico, 330
2013,California,New York, 7014
2014,California,New York, 7438
2016,California,New York, 7619
2017,California,New York, 7997
2014,California,North Carolina, 1814
2017,California,North Carolina, 1820
2013,California,North Carolina, 1504
2016,California,North Carolina, 1773
2013,California,Ohio, 409
2014,California,Ohio, 463
2016,California,Ohio, 572
2017,California,Ohio, 517
2013,California,Oklahoma, 653
2014,California,Oklahoma, 516
2016,California,Oklahoma, 396
2017,California,Oklahoma, 388
2013,California,Oregon, 3447
2014,California,Oregon, 3517
2016,California,Oregon, 3796
2017,California,Oregon, 4126
2014,California,Pennsylvania, 2236
2017,California,Pennsylvania, 2264
2013,California,Pennsylvania, 2317
2016,California,Pennsylvania, 2340
2013,California,Tennessee, 677
2014,California,Tennessee, 743
2016,California,Tennessee, 960
2017,California,Tennessee, 964
2013,California,Texas, 10494
2014,California,Texas, 11031
2016,California,Texas, 11289
2017,California,Texas, 10517
2013,California,Utah, 4089
2014,California,Utah, 4244
2016,California,Utah, 4098
2017,California,Utah, 4213
2013,California,Virginia, 1250
2014,California,Virginia, 1111
2016,California,Virginia, 1148
2017,California,Virginia, 1024
2013,California,Washington, 6256
2014,California,Washington, 6456
2016,California,Washington, 6945
2017,California,Washington, 7359
2013,California,Wisconsin, 295
2014,California,Wisconsin, 271
2016,California,Wisconsin, 300
2017,California,Wisconsin, 295
2013,California,Wyoming, 116
2014,California,Wyoming, 137
2016,California,Wyoming, 165
2017,California,Wyoming, 134
2013,Colorado,Alabama, 290
2014,Colorado,Alabama, 294
2015,Colorado,Alabama, 223
2016,Colorado,Alabama, 155
2017,Colorado,Alabama, 153
2013,Colorado,Alaska, 267
2014,Colorado,Alaska, 252
2015,Colorado,Alaska, 243
2016,Colorado,Alaska, 160
2017,Colorado,Alaska, 193
2013,Colorado,Arizona, 4400
2014,Colorado,Arizona, 4328
2015,Colorado,Arizona, 3856
2016,Colorado,Arizona, 3515
2017,Colorado,Arizona, 3615
2013,Colorado,Arkansas, 671
2014,Colorado,Arkansas, 643
2016,Colorado,Arkansas, 486
2017,Colorado,Arkansas, 501
2013,Colorado,California, 11387
2014,Colorado,California, 12095
2016,Colorado,California, 9599
2017,Colorado,California, 10535
2013,Colorado,Colorado, 2193
2014,Colorado,Colorado, 2329
2016,Colorado,Colorado, 1287
2017,Colorado,Colorado, 1154
2014,Colorado,Connecticut, 225
2017,Colorado,Connecticut, 263
2013,Colorado,Connecticut, 211
2016,Colorado,Connecticut, 183
2013,Colorado,Delaware, 53
2014,Colorado,Delaware, 77
2013,Colorado,Florida, 2426
2014,Colorado,Florida, 2402
2015,Colorado,Florida, 2374
2016,Colorado,Florida, 2321
2017,Colorado,Florida, 2151
2013,Colorado,Georgia, 2402
2014,Colorado,Georgia, 2254
2015,Colorado,Georgia, 2218
2016,Colorado,Georgia, 2157
2017,Colorado,Georgia, 2149
2013,Colorado,Hawaii, 168
2014,Colorado,Hawaii, 266
2015,Colorado,Hawaii, 262
2016,Colorado,Hawaii, 178
2017,Colorado,Hawaii, 200
2013,Colorado,Idaho, 1213
2014,Colorado,Idaho, 1364
2015,Colorado,Idaho, 1111
2016,Colorado,Idaho, 903
2017,Colorado,Idaho, 956
2013,Colorado,Illinois, 4983
2014,Colorado,Illinois, 4775
2016,Colorado,Illinois, 3870
2017,Colorado,Illinois, 3818
2013,Colorado,Indiana, 1228
2014,Colorado,Indiana, 1101
2015,Colorado,Indiana, 911
2016,Colorado,Indiana, 874
2017,Colorado,Indiana, 870
2013,Colorado,Iowa, 1139
2014,Colorado,Iowa, 1172
2015,Colorado,Iowa, 826
2016,Colorado,Iowa, 762
2017,Colorado,Iowa, 727
2013,Colorado,Kansas, 346
2014,Colorado,Kansas, 458
2015,Colorado,Kansas, 438
2016,Colorado,Kansas, 309
2017,Colorado,Kansas, 380
2013,Colorado,Kentucky, 497
2014,Colorado,Kentucky, 596
2016,Colorado,Kentucky, 406
2017,Colorado,Kentucky, 450
2013,Colorado,Louisiana, 800
2014,Colorado,Louisiana, 813
2016,Colorado,Louisiana, 581
2017,Colorado,Louisiana, 622
2013,Colorado,Maryland, 959
2014,Colorado,Maryland, 874
2016,Colorado,Maryland, 770
2017,Colorado,Maryland, 884
2014,Colorado,Massachusetts, 1455
2017,Colorado,Massachusetts, 1375
2013,Colorado,Massachusetts, 1407
2016,Colorado,Massachusetts, 1173
2013,Colorado,Michigan, 1367
2014,Colorado,Michigan, 1235
2016,Colorado,Michigan, 1156
2017,Colorado,Michigan, 1252
2013,Colorado,Minnesota, 2726
2014,Colorado,Minnesota, 2612
2016,Colorado,Minnesota, 2337
2017,Colorado,Minnesota, 2195
2013,Colorado,Missouri, 2512
2014,Colorado,Missouri, 2296
2016,Colorado,Missouri, 1592
2017,Colorado,Missouri, 1809
2013,Colorado,Montana, 1586
2014,Colorado,Montana, 1902
2015,Colorado,Montana, 1260
2016,Colorado,Montana, 962
2017,Colorado,Montana, 975
2013,Colorado,Nebraska, 1655
2014,Colorado,Nebraska, 1709
2016,Colorado,Nebraska, 1098
2017,Colorado,Nebraska, 1188
2013,Colorado,Nevada, 3335
2014,Colorado,Nevada, 3246
2015,Colorado,Nevada, 3125
2016,Colorado,Nevada, 2785
2017,Colorado,Nevada, 3009
2013,Colorado,New Hampshire, 161
2013,Colorado,New Jersey, 1644
2014,Colorado,New Jersey, 1751
2016,Colorado,New Jersey, 1552
2017,Colorado,New Jersey, 1954
2013,Colorado,New Mexico, 781
2014,Colorado,New Mexico, 704
2016,Colorado,New Mexico, 306
2017,Colorado,New Mexico, 376
2013,Colorado,New York, 1670
2014,Colorado,New York, 1545
2016,Colorado,New York, 1541
2017,Colorado,New York, 1560
2014,Colorado,North Carolina, 926
2017,Colorado,North Carolina, 1165
2013,Colorado,North Carolina, 1060
2016,Colorado,North Carolina, 1257
2014,Colorado,North Dakota, 2190
2017,Colorado,North Dakota, 734
2013,Colorado,North Dakota, 2076
2016,Colorado,North Dakota, 932
2013,Colorado,Ohio, 961
2014,Colorado,Ohio, 1041
2015,Colorado,Ohio, 814
2016,Colorado,Ohio, 682
2017,Colorado,Ohio, 581
2013,Colorado,Oklahoma, 1932
2014,Colorado,Oklahoma, 1858
2016,Colorado,Oklahoma, 1243
2017,Colorado,Oklahoma, 1193
2013,Colorado,Oregon, 2219
2014,Colorado,Oregon, 2479
2015,Colorado,Oregon, 1847
2016,Colorado,Oregon, 1826
2017,Colorado,Oregon, 1740
2014,Colorado,Pennsylvania, 1499
2017,Colorado,Pennsylvania, 1373
2013,Colorado,Pennsylvania, 1645
2016,Colorado,Pennsylvania, 1367
2014,Colorado,Rhode Island, 9
2017,Colorado,Rhode Island, 31
2013,Colorado,Rhode Island, 177
2017,Colorado,South Carolina, 38
2016,Colorado,South Carolina, 6
2014,Colorado,South Dakota, 1329
2017,Colorado,South Dakota, 737
2013,Colorado,South Dakota, 1019
2016,Colorado,South Dakota, 725
2013,Colorado,Tennessee, 1529
2014,Colorado,Tennessee, 1567
2016,Colorado,Tennessee, 1123
2017,Colorado,Tennessee, 1162
2013,Colorado,Texas, 7580
2014,Colorado,Texas, 8044
2015,Colorado,Texas, 8158
2016,Colorado,Texas, 6847
2017,Colorado,Texas, 6213
2013,Colorado,Utah, 3893
2014,Colorado,Utah, 3928
2015,Colorado,Utah, 3374
2016,Colorado,Utah, 3368
2017,Colorado,Utah, 3388
2013,Colorado,Virginia, 1597
2014,Colorado,Virginia, 1491
2016,Colorado,Virginia, 1287
2017,Colorado,Virginia, 1196
2013,Colorado,Washington, 3228
2014,Colorado,Washington, 3286
2016,Colorado,Washington, 2660
2017,Colorado,Washington, 2775
2013,Colorado,Wisconsin, 1653
2014,Colorado,Wisconsin, 1773
2016,Colorado,Wisconsin, 1110
2017,Colorado,Wisconsin, 1126
2013,Colorado,Wyoming, 1235
2014,Colorado,Wyoming, 1565
2015,Colorado,Wyoming, 972
2016,Colorado,Wyoming, 580
2017,Colorado,Wyoming, 572
2014,Connecticut,California, 51
2017,Connecticut,California, 99
2014,Connecticut,Colorado, 225
2017,Connecticut,Colorado, 248
2014,Connecticut,Florida, 1480
2017,Connecticut,Florida, 1595
2014,Connecticut,Georgia, 1004
2017,Connecticut,Georgia, 670
2014,Connecticut,Illinois, 1105
2017,Connecticut,Illinois, 842
2014,Connecticut,Kentucky, 3
2014,Connecticut,Maryland, 1079
2017,Connecticut,Maryland, 959
2014,Connecticut,Michigan, 394
2017,Connecticut,Michigan, 373
2014,Connecticut,Minnesota, 185
2017,Connecticut,Minnesota, 203
2014,Connecticut,Nevada, 143
2017,Connecticut,Nevada, 120
2014,Connecticut,New Jersey, 155
2017,Connecticut,New Jersey, 107
2014,Connecticut,North Carolina, 612
2017,Connecticut,North Carolina, 515
2014,Connecticut,Ohio, 41
2017,Connecticut,Ohio, 46
2014,Connecticut,Pennsylvania, 110
2017,Connecticut,Pennsylvania, 140
2014,Connecticut,Texas, 411
2017,Connecticut,Texas, 284
2014,Connecticut,Virginia, 245
2017,Connecticut,Virginia, 199
2013,Connecticut,California, 19
2016,Connecticut,California, 65
2013,Connecticut,Colorado, 211
2016,Connecticut,Colorado, 218
2013,Connecticut,Florida, 1324
2016,Connecticut,Florida, 1279
2013,Connecticut,Georgia, 675
2016,Connecticut,Georgia, 553
2013,Connecticut,Illinois, 1614
2016,Connecticut,Illinois, 1033
2013,Connecticut,Kentucky, 206
2013,Connecticut,Maryland, 1329
2016,Connecticut,Maryland, 1069
2013,Connecticut,Michigan, 490
2016,Connecticut,Michigan, 454
2013,Connecticut,Minnesota, 261
2016,Connecticut,Minnesota, 234
2013,Connecticut,Nevada, 121
2016,Connecticut,Nevada, 106
2013,Connecticut,New Jersey, 198
2016,Connecticut,New Jersey, 147
2013,Connecticut,North Carolina, 678
2016,Connecticut,North Carolina, 599
2013,Connecticut,Ohio, 13
2016,Connecticut,Ohio, 24
2013,Connecticut,Pennsylvania, 194
2016,Connecticut,Pennsylvania, 98
2013,Connecticut,Texas, 377
2016,Connecticut,Texas, 341
2013,Connecticut,Virginia, 191
2016,Connecticut,Virginia, 217
2013,Delaware,Colorado, 53
2014,Delaware,Colorado, 74
2013,Delaware,Florida, 43
2014,Delaware,Florida, 105
2015,Delaware,Florida, 51
2014,Delaware,Georgia, 35
2014,Delaware,Michigan, 38
2013,Florida,Alabama, 477
2014,Florida,Alabama, 554
2015,Florida,Alabama, 460
2016,Florida,Alabama, 439
2017,Florida,Alabama, 478
2013,Florida,Arizona, 806
2014,Florida,Arizona, 887
2015,Florida,Arizona, 772
2016,Florida,Arizona, 800
2017,Florida,Arizona, 842
2013,Florida,Arkansas, 8
2014,Florida,Arkansas, 6
2013,Florida,California, 1647
2014,Florida,California, 1916
2016,Florida,California, 2079
2017,Florida,California, 2547
2013,Florida,Colorado, 2426
2014,Florida,Colorado, 2526
2016,Florida,Colorado, 2295
2017,Florida,Colorado, 2440
2014,Florida,Connecticut, 1480
2017,Florida,Connecticut, 1489
2013,Florida,Connecticut, 1324
2016,Florida,Connecticut, 1324
2013,Florida,Delaware, 43
2014,Florida,Delaware, 101
2013,Florida,Florida, 653
2014,Florida,Florida, 514
2015,Florida,Florida, 764
2016,Florida,Florida, 879
2017,Florida,Florida, 825
2013,Florida,Georgia, 12593
2014,Florida,Georgia, 12602
2015,Florida,Georgia, 12471
2016,Florida,Georgia, 12389
2017,Florida,Georgia, 12371
2013,Florida,Illinois, 4892
2014,Florida,Illinois, 5159
2016,Florida,Illinois, 4938
2017,Florida,Illinois, 4873
2013,Florida,Indiana, 1075
2014,Florida,Indiana, 1102
2015,Florida,Indiana, 1024
2016,Florida,Indiana, 1047
2017,Florida,Indiana, 1061
2016,Florida,Iowa, 8
2017,Florida,Iowa, 23
2013,Florida,Kentucky, 651
2014,Florida,Kentucky, 717
2016,Florida,Kentucky, 703
2017,Florida,Kentucky, 689
2013,Florida,Louisiana, 1269
2014,Florida,Louisiana, 1439
2016,Florida,Louisiana, 1165
2017,Florida,Louisiana, 1298
2013,Florida,Maryland, 4906
2014,Florida,Maryland, 4981
2016,Florida,Maryland, 4755
2017,Florida,Maryland, 4834
2014,Florida,Massachusetts, 3711
2017,Florida,Massachusetts, 4236
2013,Florida,Massachusetts, 4242
2016,Florida,Massachusetts, 4441
2013,Florida,Michigan, 2151
2014,Florida,Michigan, 2098
2016,Florida,Michigan, 2031
2017,Florida,Michigan, 1980
2013,Florida,Minnesota, 943
2014,Florida,Minnesota, 1003
2016,Florida,Minnesota, 952
2017,Florida,Minnesota, 970
2014,Florida,Mississippi, 106
2013,Florida,Mississippi, 187
2013,Florida,Missouri, 1366
2014,Florida,Missouri, 1442
2016,Florida,Missouri, 1295
2017,Florida,Missouri, 1311
2013,Florida,Nebraska, 25
2014,Florida,Nebraska, 22
2016,Florida,Nebraska, 54
2017,Florida,Nebraska, 43
2013,Florida,Nevada, 833
2014,Florida,Nevada, 882
2015,Florida,Nevada, 852
2016,Florida,Nevada, 846
2017,Florida,Nevada, 871
2014,Florida,New Hampshire, 375
2017,Florida,New Hampshire, 321
2013,Florida,New Hampshire, 444
2016,Florida,New Hampshire, 386
2013,Florida,New Jersey, 5539
2014,Florida,New Jersey, 5597
2016,Florida,New Jersey, 6134
2017,Florida,New Jersey, 6890
2013,Florida,New Mexico, 64
2014,Florida,New Mexico, 23
2016,Florida,New Mexico, 26
2017,Florida,New Mexico, 30
2013,Florida,New York, 9379
2014,Florida,New York, 9230
2016,Florida,New York, 9503
2017,Florida,New York, 9583
2014,Florida,North Carolina, 4891
2017,Florida,North Carolina, 4748
2013,Florida,North Carolina, 5284
2016,Florida,North Carolina, 5196
2013,Florida,Ohio, 1146
2014,Florida,Ohio, 1298
2015,Florida,Ohio, 1263
2016,Florida,Ohio, 958
2017,Florida,Ohio, 1075
2013,Florida,Oklahoma, 23
2017,Florida,Oklahoma, 25
2017,Florida,Oregon, 50
2014,Florida,Pennsylvania, 4994
2017,Florida,Pennsylvania, 4741
2013,Florida,Pennsylvania, 4783
2016,Florida,Pennsylvania, 4648
2014,Florida,Rhode Island, 1202
2017,Florida,Rhode Island, 1154
2013,Florida,Rhode Island, 1233
2016,Florida,Rhode Island, 1150
2013,Florida,South Carolina, 108
2013,Florida,Tennessee, 1902
2014,Florida,Tennessee, 2078
2016,Florida,Tennessee, 1847
2017,Florida,Tennessee, 1938
2013,Florida,Texas, 6258
2014,Florida,Texas, 6641
2015,Florida,Texas, 6577
2016,Florida,Texas, 6485
2017,Florida,Texas, 6499
2013,Florida,Utah, 183
2014,Florida,Utah, 187
2015,Florida,Utah, 320
2016,Florida,Utah, 317
2017,Florida,Utah, 332
2013,Florida,Virginia, 3314
2014,Florida,Virginia, 3426
2016,Florida,Virginia, 3499
2017,Florida,Virginia, 3506
2013,Florida,Washington, 191
2014,Florida,Washington, 223
2016,Florida,Washington, 219
2017,Florida,Washington, 312
2013,Florida,Wisconsin, 954
2014,Florida,Wisconsin, 1022
2016,Florida,Wisconsin, 879
2017,Florida,Wisconsin, 938
2013,Georgia,Alabama, 3261
2014,Georgia,Alabama, 2772
2015,Georgia,Alabama, 2682
2016,Georgia,Alabama, 2664
